LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
make_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS REMOVED,-2.569,0.994,0.285,0.474,0.378,142,45
do_VERB,work_SUBST,work_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,9110,463
make_VERB,assessment_SUBST,assess_VERB,EXTREME OUTLIERS REMOVED,-0.934,0.816,0.147,0.65,0.399,121,8
have_VERB,gossip_SUBST,gossip_VERB,,0.894,0.244,-0.881,2.281,0.7,5,2
have_VERB,wash_SUBST,wash_VERB,EXTREME OUTLIERS REMOVED,-0.054,0.524,0.31,0.68,0.495,691,16
make_VERB,investment_SUBST,invest_VERB,EXTREME OUTLIERS REMOVED,2.103,0.096,0.22,1.173,0.69,201,3
have_VERB,throw_SUBST,throw_VERB,insufficient observations,test_result$statistic,,,,,1046,1
reach_VERB,agreement_SUBST,agree_VERB,EXTREME OUTLIERS REMOVED,-0.488,0.685,0.175,0.776,0.475,1618,3
have_VERB,lead_SUBST,lead_VERB,EXTREME OUTLIERS REMOVED,0.716,0.254,-0.176,1.344,0.602,415,3
take_VERB,lead_SUBST,lead_VERB,EXTREME OUTLIERS REMOVED,-0.954,0.828,0.298,0.581,0.438,415,13
give_VERB,presentation_SUBST,present_VERB,EXTREME OUTLIERS REMOVED,1.049,0.154,0.406,0.726,0.565,285,7
commit_VERB,offence_SUBST,offend_VERB,EXTREME OUTLIERS REMOVED,-3.185,0.987,-0.041,0.442,0.201,73,6
give_VERB,recognition_SUBST,recognise_VERB,EXTREME OUTLIERS REMOVED,-0.676,0.705,-1.781,2.604,0.37,342,2
give_VERB,cuddle_SUBST,cuddle_VERB,EXTREME OUTLIERS REMOVED,1.959,0.07,0.406,0.916,0.656,40,4
have_VERB,cuddle_SUBST,cuddle_VERB,EXTREME OUTLIERS REMOVED,0.308,0.383,0.186,0.905,0.54,40,5
have_VERB,objection_SUBST,object_VERB,,-1.639,0.948,0.302,0.521,0.412,107,25
make_VERB,copy_SUBST,copy_VERB,EXTREME OUTLIERS REMOVED,-2.04,0.927,-0.187,0.699,0.248,248,4
make_VERB,proposal_SUBST,propose_VERB,EXTREME OUTLIERS REMOVED,-1.247,0.829,-0.286,0.979,0.348,325,3
make_VERB,complaint_SUBST,complain_VERB,EXTREME OUTLIERS REMOVED,-3.098,0.995,0.134,0.433,0.286,378,13
make_VERB,comparison_SUBST,compare_VERB,EXTREME OUTLIERS REMOVED,-0.294,0.619,0.168,0.768,0.464,482,8
make_VERB,film_SUBST,film_VERB,EXTREME OUTLIERS REMOVED,-0.784,0.789,0.332,0.574,0.452,91,32
have_VERB,feel_SUBST,feel_VERB,EXTREME OUTLIERS REMOVED,-0.055,0.524,-0.325,1.252,0.488,6287,4
make_VERB,fuss_SUBST,fuss_VERB,,-0.544,0.701,0.276,0.633,0.453,24,22
make_VERB,order_SUBST,order_VERB,EXTREME OUTLIERS REMOVED,-1.356,0.889,0.004,0.688,0.334,424,6
do_VERB,damage_SUBST,damage_VERB,EXTREME OUTLIERS REMOVED,0.456,0.318,0.398,0.658,0.529,109,26
take_VERB,measurement_SUBST,measure_VERB,EXTREME OUTLIERS REMOVED,-7.415,0.994,-0.077,0.314,0.118,253,4
take_VERB,measure_SUBST,measure_VERB,EXTREME OUTLIERS REMOVED,-7.911,0.958,-0.523,0.684,0.055,253,2
make_VERB,call_SUBST,call_VERB,EXTREME OUTLIERS REMOVED,-12.349,1,0.175,0.265,0.22,4923,71
give_VERB,call_SUBST,call_VERB,EXTREME OUTLIERS REMOVED,-15.315,1,0.194,0.264,0.229,4923,62
make_VERB,promise_SUBST,promise_VERB,EXTREME OUTLIERS REMOVED,0.361,0.355,0.126,1.019,0.561,192,6
have_VERB,game_SUBST,play_VERB,EXTREME OUTLIERS REMOVED,-4.355,1,0.31,0.43,0.371,3851,68
make_VERB,reference_SUBST,refer_VERB,EXTREME OUTLIERS REMOVED,-2.466,0.985,0.194,0.48,0.336,527,15
give_VERB,massage_SUBST,massage_VERB,insufficient observations,test_result$statistic,,,,,15,1
make_VERB,evaluation_SUBST,evaluate_VERB,,0.829,0.215,0.082,1.158,0.634,54,4
make_VERB,comment_SUBST,comment_VERB,EXTREME OUTLIERS REMOVED,-2.588,0.994,0.357,0.481,0.419,219,116
take_VERB,notice_SUBST,notice_VERB,EXTREME OUTLIERS REMOVED,-5.29,1,0.303,0.41,0.357,881,66
give_VERB,look_SUBST,look_VERB,EXTREME OUTLIERS REMOVED,-1.217,0.876,0.305,0.562,0.432,17718,11
have_VERB,look_SUBST,look_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,17718,1500
take_VERB,look_SUBST,look_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,17718,50
make_VERB,use_SUBST,use_VERB,EXTREME OUTLIERS REMOVED,-3.076,0.998,0.291,0.455,0.374,6638,51
have_VERB,argument_SUBST,argue_VERB,EXTREME OUTLIERS REMOVED,2.059,0.023,0.502,0.64,0.572,365,68
have_VERB,drink_SUBST,drink_VERB,EXTREME OUTLIERS REMOVED,-6.305,1,0.343,0.418,0.38,1386,219
do_VERB,investigation_SUBST,investigate_VERB,,0.076,0.472,0.008,1.011,0.511,92,4
make_VERB,assumption_SUBST,assume_VERB,EXTREME OUTLIERS REMOVED,0.403,0.348,0.396,0.656,0.525,540,21
make_VERB,joke_SUBST,joke_VERB,EXTREME OUTLIERS REMOVED,-5.467,1,0.224,0.373,0.297,218,43
make_VERB,adjustment_SUBST,adjust_VERB,,0.599,0.27,0.245,0.891,0.571,82,6
have_VERB,bite_SUBST,bite_VERB,EXTREME OUTLIERS REMOVED,2.929,0.007,0.554,0.87,0.712,156,14
make_VERB,bid_SUBST,bid_VERB,,-2.694,0.981,0.025,0.479,0.251,69,7
make_VERB,recommendation_SUBST,recommend_VERB,EXTREME OUTLIERS REMOVED,-5.548,1,0.116,0.332,0.222,318,18
make_VERB,move_SUBST,move_VERB,EXTREME OUTLIERS REMOVED,1.583,0.064,0.477,0.677,0.576,4713,35
give_VERB,lecture_SUBST,lecture_VERB,EXTREME OUTLIERS REMOVED,-3.397,0.997,0.065,0.395,0.227,19,16
have_VERB,cry_SUBST,cry_VERB,insufficient observations,test_result$statistic,,,,,436,1
take_VERB,picture_SUBST,photograph_VERB,EXTREME OUTLIERS REMOVED,-3.78,1,0.165,0.401,0.284,28,148
make_VERB,improvement_SUBST,improve_VERB,EXTREME OUTLIERS REMOVED,-12.856,0.977,-0.013,0.481,0.234,429,2
take_VERB,chance_SUBST,risk_VERB,EXTREME OUTLIERS REMOVED,-0.633,0.743,0.341,0.58,0.462,61,31
take_VERB,risk_SUBST,risk_VERB,,-0.336,0.632,0.365,0.594,0.481,61,43
have_VERB,doubt_SUBST,doubt_VERB,EXTREME OUTLIERS REMOVED,-6.013,1,0.157,0.332,0.244,218,46
give_VERB,talk_SUBST,talk_VERB,EXTREME OUTLIERS REMOVED,-4.915,1,0.228,0.387,0.308,7317,38
have_VERB,talk_SUBST,talk_VERB,EXTREME OUTLIERS REMOVED,-2.4,0.988,0.294,0.484,0.391,7317,25
make_VERB,mention_SUBST,mention_VERB,EXTREME OUTLIERS REMOVED,-0.622,0.685,-1.267,2.093,0.425,1162,2
make_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS REMOVED,-3.754,1,0.395,0.467,0.432,1503,291
take_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS REMOVED,-3.413,0.999,0.263,0.439,0.351,1503,45
reach_VERB,decision_SUBST,decide_VERB,EXTREME OUTLIERS REMOVED,-13.875,0.997,-0.053,0.258,0.103,1503,3
give_VERB,kiss_SUBST,kiss_VERB,EXTREME OUTLIERS REMOVED,-4.744,1,0.256,0.4,0.327,174,50
have_VERB,kiss_SUBST,kiss_VERB,EXTREME OUTLIERS REMOVED,0.125,0.452,0.261,0.757,0.51,174,5
make_VERB,cut_SUBST,cut_VERB,EXTREME OUTLIERS REMOVED,-5.099,1,0.038,0.315,0.173,1743,15
give_VERB,support_SUBST,support_VERB,EXTREME OUTLIERS REMOVED,-1.612,0.943,0.28,0.525,0.405,797,24
make_VERB,suggestion_SUBST,suggest_VERB,EXTREME OUTLIERS REMOVED,-0.16,0.563,0.37,0.611,0.491,902,29
have_VERB,laugh_SUBST,laugh_VERB,EXTREME OUTLIERS REMOVED,0.714,0.24,0.442,0.621,0.532,796,64
give_VERB,help_SUBST,help_VERB,EXTREME OUTLIERS REMOVED,-3.196,0.995,0.172,0.439,0.304,2811,15
have_VERB,chat_SUBST,chat_VERB,EXTREME OUTLIERS REMOVED,-4.512,1,0.328,0.434,0.381,308,173
take_VERB,reading_SUBST,read_VERB,insufficient observations,test_result$statistic,,,,,3418,1
give_VERB,address_SUBST,address_VERB,EXTREME OUTLIERS REMOVED,3.23,0.002,0.554,0.752,0.655,253,30
give_VERB,answer_SUBST,answer_VERB,EXTREME OUTLIERS REMOVED,-4.181,1,0.332,0.439,0.386,711,89
make_VERB,change_SUBST,change_VERB,EXTREME OUTLIERS REMOVED,-5.3,1,0.274,0.397,0.335,3090,67
give_VERB,smile_SUBST,smile_VERB,EXTREME OUTLIERS REMOVED,1.43,0.14,0.259,0.916,0.6,130,3
make_VERB,choice_SUBST,choose_VERB,EXTREME OUTLIERS REMOVED,-2.705,0.994,0.273,0.469,0.371,992,33
make_VERB,discovery_SUBST,discover_VERB,EXTREME OUTLIERS REMOVED,1.523,0.091,0.383,0.931,0.657,192,6
have_VERB,smell_SUBST,smell_VERB,EXTREME OUTLIERS REMOVED,-3.812,0.997,0.143,0.412,0.277,603,11
take_VERB,drive_SUBST,drive_VERB,EXTREME OUTLIERS REMOVED,-0.259,0.6,-0.082,1.024,0.462,1970,4
make_VERB,payment_SUBST,pay_VERB,EXTREME OUTLIERS REMOVED,-4.218,0.997,0.069,0.375,0.221,6007,10
give_VERB,advice_SUBST,advise_VERB,EXTREME OUTLIERS REMOVED,-1.049,0.854,0.38,0.537,0.459,201,66
pay_VERB,attention_SUBST,attend_VERB,EXTREME OUTLIERS REMOVED,-0.574,0.719,0.421,0.545,0.482,220,112
make_VERB,progress_SUBST,progress_VERB,EXTREME OUTLIERS REMOVED,-1.175,0.881,0.316,0.549,0.432,71,40
give_VERB,push_SUBST,push_VERB,EXTREME OUTLIERS REMOVED,0.084,0.459,0.271,0.741,0.508,785,7
take_VERB,care_SUBST,care_VERB,EXTREME OUTLIERS REMOVED,-4.924,1,0.335,0.43,0.382,911,101
make_VERB,allowance_SUBST,allow_VERB,EXTREME OUTLIERS REMOVED,-1.06,0.853,0.274,0.573,0.425,1601,19
make_VERB,attempt_SUBST,attempt_VERB,EXTREME OUTLIERS REMOVED,-0.113,0.546,-0.225,1.196,0.476,95,4
play_VERB,part_SUBST,participate_VERB,EXTREME OUTLIERS REMOVED,1.902,0.028,0.497,0.739,0.617,50,40
hold_VERB,meeting_SUBST,meet_VERB,EXTREME OUTLIERS REMOVED,-5.628,1,0.151,0.355,0.252,2491,10
have_VERB,swim_SUBST,swim_VERB,EXTREME OUTLIERS REMOVED,0.565,0.284,0.301,0.828,0.562,262,8
have_VERB,understanding_SUBST,understand_VERB,EXTREME OUTLIERS REMOVED,-1.525,0.925,0.276,0.537,0.406,2337,22
make_VERB,offer_SUBST,offer_VERB,EXTREME OUTLIERS REMOVED,-0.838,0.798,0.221,0.626,0.427,806,10
take_VERB,shower_SUBST,shower_VERB,EXTREME OUTLIERS REMOVED,-0.979,0.804,0.073,0.743,0.421,38,3
give_VERB,shake_SUBST,shake_VERB,EXTREME OUTLIERS REMOVED,-1.888,0.932,-0.06,0.626,0.286,177,5
make_VERB,statement_SUBST,state_VERB,,-1.795,0.961,0.319,0.51,0.414,113,46
have_VERB,thought_SUBST,think_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,54019,34
give_VERB,miss_SUBST,miss_VERB,EXTREME OUTLIERS REMOVED,-6.856,0.999,0.138,0.332,0.236,1313,7
have_VERB,cough_SUBST,cough_VERB,EXTREME OUTLIERS REMOVED,-0.775,0.773,0.109,0.701,0.404,101,9
take_VERB,breath_SUBST,breathe_VERB,EXTREME OUTLIERS REMOVED,-0.248,0.594,0.361,0.606,0.485,174,24
give_VERB,blessing_SUBST,bless_VERB,insufficient observations,test_result$statistic,,,,,235,1
make_VERB,announcement_SUBST,announce_VERB,EXTREME OUTLIERS REMOVED,-0.569,0.718,0.252,0.64,0.448,115,14
give_VERB,shout_SUBST,shout_VERB,EXTREME OUTLIERS REMOVED,-0.284,0.613,0.39,0.585,0.486,243,23
have_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS REMOVED,1.149,0.125,0.465,0.628,0.546,2885,51
take_VERB,walk_SUBST,walk_VERB,EXTREME OUTLIERS REMOVED,0.232,0.403,0.357,0.667,0.513,2885,6
have_VERB,dance_SUBST,dance_VERB,EXTREME OUTLIERS REMOVED,0.022,0.484,0.315,0.695,0.502,188,16
give_VERB,guidance_SUBST,guide_VERB,EXTREME OUTLIERS REMOVED,-3.072,0.995,-0.008,0.408,0.198,21,13
make_VERB,declaration_SUBST,declare_VERB,EXTREME OUTLIERS REMOVED,-1.083,0.771,-1.498,2.026,0.265,100,2
give_VERB,treatment_SUBST,treat_VERB,EXTREME OUTLIERS REMOVED,-2.938,0.983,-0.011,0.467,0.235,453,7
give_VERB,assistance_SUBST,assist_VERB,,0.416,0.339,0.138,0.966,0.56,80,5
take_VERB,step_SUBST,step_VERB,EXTREME OUTLIERS REMOVED,-2.223,0.985,0.287,0.49,0.387,146,37
make_VERB,appearance_SUBST,appear_VERB,EXTREME OUTLIERS REMOVED,14.921,0.003,0.784,1.09,0.939,365,3
give_VERB,thanks_SUBST,thank_VERB,EXTREME OUTLIERS REMOVED,-1.16,0.821,-0.571,1.243,0.315,2793,3
make_VERB,application_SUBST,apply_VERB,EXTREME OUTLIERS REMOVED,-5.993,1,0.115,0.325,0.218,754,13
